record_type,record_id,collected_at,observed_at,forecast_hours,name,commune,district,province,latitude,longitude,rainfall_mm,risk_level,flash_flood_risk,color,source
landslide_warning,nchmf-30020778-5835,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Thị trấn Mường Tè,Bum Tở,Mường Tè,Lai Châu,22.38,102.809,83.2,Trung bình,Trung bình,,NCHMF
landslide_warning,nchmf-30020779-5830,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Bum Nưa,Hua Bum,Mường Tè,Lai Châu,22.384,102.88,84.8,Trung bình,Trung bình,,NCHMF
landslide_warning,nchmf-30020779-5830,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Bum Nưa,Bum Nưa,Mường Tè,Lai Châu,22.384,102.88,84.8,Trung bình,Trung bình,,NCHMF
landslide_warning,nchmf-30020780-5831,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Bum Tở,Bum Tở,Mường Tè,Lai Châu,22.436,102.775,104.6,Cao,Cao,,NCHMF
landslide_warning,nchmf-30020787-5876,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Làng Mô,Tủa Sín Chải,Sìn Hồ,Lai Châu,22.214,103.27,64.2,Trung bình,Trung bình,,NCHMF
landslide_warning,nchmf-30020784-5845,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Lê Lợi,Lê Lợi,Nậm Nhùn,Lai Châu,22.093,103.158,61.2,Trung bình,Trung bình,,NCHMF
landslide_warning,nchmf-30020785-5848,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Nậm Chà,Mường Mô,Nậm Nhùn,Lai Châu,22.132,102.843,58.8,Trung bình,Trung bình,,NCHMF
landslide_warning,nchmf-30020788-5880,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Nậm Cuổi,Nậm Cuổi,Sìn Hồ,Lai Châu,22.119,103.508,120.4,Cao,Cao,,NCHMF
landslide_warning,nchmf-30020789-5881,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Nậm Hăn,Nậm Cuổi,Sìn Hồ,Lai Châu,22.035,103.5,94.2,Cao,Cao,,NCHMF
landslide_warning,nchmf-30020786-5849,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Nậm Hàng,Nậm Hàng,Nậm Nhùn,Lai Châu,22.192,103.016,79.8,Trung bình,Trung bình,,NCHMF
landslide_warning,nchmf-30020781-5837,2026-07-23T15:44:45+07:00,2026-07-23T15:00:00+07:00,6,Xã Nậm Khao,Mường Tè,Mường Tè,Lai Châu,22.442,102.681,87.2,Trung bình,Trung bình,,NCHMF
