record_type,record_id,collected_at,observed_at,forecast_hours,name,commune,district,province,latitude,longitude,rainfall_mm,risk_level,flash_flood_risk,color,source
rainfall_station,vrain-22.539382-105.871059-Thành Công,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thành Công,,,,22.539,105.871,3.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.693148-106.441773-Quảng Uyên,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Quảng Uyên,,,,22.693,106.442,3.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.735278-106.4075-Phi Hải,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Phi Hải,,,,22.735,106.407,2.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.859157-106.696683-Đàm Thủy,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đàm Thủy,,,,22.859,106.697,1.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.715914-106.328356-Án Lại,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Án Lại,,,,22.716,106.328,1.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.830327-106.323495-Trà Lĩnh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Trà Lĩnh,,,,22.83,106.323,1.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.794341-106.764346-Minh Long,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Minh Long,,,,22.794,106.764,1.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.479167-106.279722-Đức Thông,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đức Thông,,,,22.479,106.28,0.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.896111-105.924444-Cần Yên,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Cần Yên,,,,22.896,105.924,0.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.828105-106.137467-Nà Ràng,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Nà Ràng,,,,22.828,106.137,0.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.863056-105.386944-Thạch Lâm,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thạch Lâm,,,,22.863,105.387,0.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.756667-105.473056-Thái Học,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thái Học,,,,22.757,105.473,0.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.528514-106.328624-Năm Làng,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Năm Làng,,,,22.529,106.329,0.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.738056-106.6025-Kim Loan,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Kim Loan,,,,22.738,106.603,0.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.428773-106.431632-Thạch An,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thạch An,,,,22.429,106.432,0.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.995556-105.751389-Cô Ba,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Cô Ba,,,,22.996,105.751,0.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.541389-106.496389-Thủy điện Hòa Thuận,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thủy điện Hòa Thuận,,,,22.541,106.496,0.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.687466-106.672166-Hạ Lang,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hạ Lang,,,,22.687,106.672,0.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.689336-106.097367-Tà Sa,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tà Sa,,,,22.689,106.097,0.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.654471-105.883602-Tĩnh Túc,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tĩnh Túc,,,,22.654,105.884,0.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.580144-106.542276-Cách Linh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Cách Linh,,,,22.58,106.542,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-23.045-105.593333-Cốc Pàng,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Cốc Pàng,,,,23.045,105.593,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.722222-106.060278-Trương Lương,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Trương Lương,,,,22.722,106.06,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.604444-106.0175-Tam Kim,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tam Kim,,,,22.604,106.017,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.863611-106.393889-Tri Phương,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tri Phương,,,,22.864,106.394,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.725376-105.689114-Sơn Lộ,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Sơn Lộ,,,,22.725,105.689,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.80084-105.98488-Thông Nông,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thông Nông,,,,22.801,105.985,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.656477-106.016883-Minh Thanh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Minh Thanh,,,,22.656,106.017,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.679444-105.522222-Yên Thổ,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Yên Thổ,,,,22.679,105.522,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.844167-106.241389-Quang Vinh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Quang Vinh,,,,22.844,106.241,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-22.436389-106.511389-Đức Long,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đức Long,,,,22.436,106.511,0.0,Không mưa,,#535353,VRain
rainfall_station,vrain-21.823056-105.221389-Văn phòng BCH PCTT,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Văn phòng BCH PCTT,,,,21.823,105.221,59.4,Mưa to,,#FF9600,VRain
rainfall_station,vrain-21.722778-105.118333-Nhữ Hán,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Nhữ Hán,,,,21.723,105.118,47.2,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.856392-105.362479-Đạo Viện 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đạo Viện 1,,,,21.856,105.362,42.6,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.75-105.0925-Mỹ Bằng,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Mỹ Bằng,,,,21.75,105.093,41.4,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.852942-105.438683-Kim Quan,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Kim Quan,,,,21.853,105.439,33.8,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.99546-105.313803-Kiến Thiết,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Kiến Thiết,,,,21.995,105.314,32.2,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.761111-105.188889-Hoàng Khai,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hoàng Khai,,,,21.761,105.189,30.2,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.814722-105.159444-Hồ Ngòi Là,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hồ Ngòi Là,,,,21.815,105.159,29.0,Mưa vừa,,#009300,VRain
rainfall_station,vrain-22.065021-105.372543-Tri Phú,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tri Phú,,,,22.065,105.373,28.6,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.769167-105.140278-Mỹ Lâm,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Mỹ Lâm,,,,21.769,105.14,20.4,Mưa vừa,,#009300,VRain
rainfall_station,vrain-21.773889-105.321667-Tiến Bộ,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tiến Bộ,,,,21.774,105.322,16.0,Mưa vừa,,#009300,VRain
rainfall_station,vrain-22.113056-105.431389-Kiên Đài,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Kiên Đài,,,,22.113,105.431,11.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.742222-105.32-Thượng Ấm,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Thượng Ấm,,,,21.742,105.32,9.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.576111-105.318056-Đông Lợi,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đông Lợi,,,,21.576,105.318,9.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.866111-105.121667-Lăng Quán,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Lăng Quán,,,,21.866,105.122,9.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.066944-105.174167-Yên Nguyên,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Yên Nguyên,,,,22.067,105.174,8.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.014722-105.4475-Linh Phú,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Linh Phú,,,,22.015,105.448,8.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.474444-105.436667-Khâu Tinh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Khâu Tinh,,,,22.474,105.437,7.8,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.936667-105.181944-Phúc Ninh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Phúc Ninh,,,,21.937,105.182,7.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.521667-105.564167-Hồng Thái,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Hồng Thái,,,,22.522,105.564,6.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.678831-105.209772-Đội Bình,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đội Bình,,,,21.679,105.21,6.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.455639-105.2255-Lăng Can 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Lăng Can 1,,,,22.456,105.225,5.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.505833-105.165-Xuân Lập,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Xuân Lập,,,,22.506,105.165,5.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.486023-104.654721-Tiên Nguyên 2,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Tiên Nguyên 2,,,,22.486,104.655,5.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.546389-105.406389-Sinh Long,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Sinh Long,,,,22.546,105.406,5.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.616574-105.041123-Bạch Ngọc 2,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bạch Ngọc 2,,,,22.617,105.041,5.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.1875-105.427222-Bình Phú,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bình Phú,,,,22.188,105.427,5.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.564722-105.200833-Phúc Yên,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Phúc Yên,,,,22.565,105.201,5.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.624995-105.282992-Đồng Quý,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đồng Quý,,,,21.625,105.283,4.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.587274-105.04912-Bạch Ngọc 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Bạch Ngọc 1,,,,22.587,105.049,4.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.511276-105.480245-Yên Hoa,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Yên Hoa,,,,22.511,105.48,4.6,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.175833-105.347778-Phú Bình,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Phú Bình,,,,22.176,105.348,4.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.4975-105.171111-Xuân Lập,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Xuân Lập,,,,22.497,105.171,4.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-21.968586-105.514264-Trung Minh,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Trung Minh,,,,21.969,105.514,4.4,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.498243-104.94667-Đồng Tâm,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đồng Tâm,,,,22.498,104.947,4.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.705278-105.0525-Linh Hồ,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Linh Hồ,,,,22.705,105.052,4.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.46709-105.534935-Đà Vị,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Đà Vị,,,,22.467,105.535,4.2,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.740252-104.944925-Cao Bồ 1,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Cao Bồ 1,,,,22.74,104.945,4.0,Mưa nhỏ,,#1DADE9,VRain
rainfall_station,vrain-22.626596-104.958345-Việt Lâm,2026-07-22T21:22:06+07:00,2026-07-22T21:22:06+07:00,,Việt Lâm,,,,22.627,104.958,4.0,Mưa nhỏ,,#1DADE9,VRain
